TMTID(GP),FSN,CHANGEDATE
800961,aluminium hydroxide 300 mg + magnesium hydroxide 100 mg + simeticone 50 mg tablet (GP),20140519
836482,aluminium hydroxide 300 mg + magnesium hydroxide 250 mg tablet (GP),20140817
1219745,aluminium hydroxide 300 mg chewable tablet (GP),20211230
824425,aluminium hydroxide 300 mg tablet (GP),20140721
829273,aluminium hydroxide 300 mg/5 mL + magnesium hydroxide 133.33 mg/5 mL + simeticone 23.33 mg/5 mL oral suspension (GP),20181103
918362,aluminium hydroxide 300 mg/5 mL oral suspension (GP),20150404
947170,aluminium hydroxide 305 mg/5 mL oral suspension (GP),20181105
689936,aluminium hydroxide 306 mg/5 mL + magnesium hydroxide 100 mg/5 mL + simeticone 20 mg/5 mL oral suspension (GP),20181103
801863,aluminium hydroxide 320 mg + magnesium hydroxide 75 mg chewable tablet (GP),20140602
689873,aluminium hydroxide 320 mg/5 mL + magnesium hydroxide 110 mg/5 mL + simeticone 20 mg/5 mL oral suspension (GP),20181103
695452,aluminium hydroxide 320 mg/5 mL + magnesium hydroxide 110 mg/5 mL + simeticone 33.33 mg/5 mL oral suspension (GP),20181103
756100,aluminium hydroxide 330 mg + atropine sulfate 130 mcg + kaolin 130 mg + magnesium trisilicate 260 mg tablet (GP),20140407
871257,aluminium hydroxide 340 mg + belladonna extract 8 mg + magnesium trisilicate 300 mg tablet (GP),20141129
