TMTID(SUBS),FSN,CHANGEDATE
749614,clopidogrel bisulfate (SUBS),20140324
692612,clostridiopeptidase a (SUBS),20140104
266183,clotrimazole (SUBS),20130805
694054,clove oil (SUBS),20140118
242500,cloxacillin (SUBS),20130805
861613,cloxacillin sodium (SUBS),20141102
514044,cloxiquine (SUBS),20150116
287691,clozapine (SUBS),20130805
725624,coagulation factor II (SUBS),20140118
1258121,coagulation factor IX (SUBS),20230316
725648,coagulation factor VII (SUBS),20140118
725669,coagulation factor X (SUBS),20140118
705683,coal tar (SUBS),20140118
982001,cobalt (SUBS),20160418
877468,cobalt sulfate (SUBS),20150105
851135,cobalt sulphate (SUBS),20141004
860633,cobaltous chloride (SUBS),20141102
966002,cobicistat (SUBS),20151222
762238,cobra antivenin (SUBS),20160214
837103,cocaine (SUBS),20140817
962351,cocaine hydrochloride (SUBS),20151102
982404,cocamide diethanolamine (SUBS),20160418
677960,cod liver oil (SUBS),20140104
265169,codeine (SUBS),20130805
531114,codeine phosphate (SUBS),20131018
1034850,co-dergocrine mesylate (SUBS),20180713
974502,coenzyme Q10 (SUBS),20160214
279254,colchicine (SUBS),20130805
225917,colecalciferol (SUBS),20131018
223641,colestyramine (SUBS),20190711
786993,colistimethate sodium (SUBS),20140504
257166,colistin (SUBS),20130805
711545,colonic lavage (SUBS),20140118
743725,comphorated opium tincture (SUBS),20140304
223768,compound cardamom tincture (SUBS),20150702
770976,compound gentian tincture (SUBS),20140407
663181,compound insulin zinc suspension (SUBS),20131116
770995,compound rhubarb tincture (SUBS),20140407
849490,compound tinospora tincture (SUBS),20140914
827885,concentrated dill water (SUBS),20140721
682661,conjugated estrogens (SUBS),20140104
758896,copper (SUBS),20140407
693798,copper sulfate (SUBS),20140118
798529,copper sulfate anhydrous (SUBS),20140519
1294261,copper sulfate pentahydrate (SUBS),20240328
680228,corifollitropin alfa (SUBS),20140104
1179428,corn starch (SUBS),20210226
1179330,corn strach (SUBS),20210331
693492,corticorelin (SUBS),20140118
1208004,covid-19 mrna vaccine (nucleoside modified) (SUBS),20211110
710648,cream base (SUBS),20140118
732999,creosote (SUBS),20140202
1279477,crisaborole (SUBS),20230805
