TMTID(GPU),FSN,CHANGEDATE
265959,"alfacalcidol 0.5 mcg tablet, 1 tablet (GPU)",20130805
236019,"alfacalcidol 1 mcg capsule, soft, 1 capsule (GPU)",20130805
266014,"alfacalcidol 1 mcg tablet, 1 tablet (GPU)",20130805
487250,"alfacalcidol 200 mcg/100 mL oral solution, 20 mL bottle (GPU)",20130830
652046,"alfuzosin hydrochloride 10 mg prolonged-release tablet, 1 tablet (GPU)",20131005
199977,"alginic acid 200 mg + dried aluminium hydroxide gel 30 mg + magnesium carbonate 40 mg chewable tablet, 1 tablet (GPU)",20210429
719360,"alglucosidase alfa 50 mg powder for concentrate for solution for infusion, 1 vial (GPU)",20161203
1026084,"alirocumab 150 mg/1 mL solution for injection, 1 mL prefilled pen (GPU)",20180315
1026032,"alirocumab 75 mg/1 mL solution for injection, 1 mL prefilled pen (GPU)",20180315
200001,"aliskiren 150 mg + amlodipine 10 mg film-coated tablet, 1 tablet (GPU)",20130627
200017,"aliskiren 150 mg + amlodipine 5 mg film-coated tablet, 1 tablet (GPU)",20130627
200040,"aliskiren 150 mg + hydrochlorothiazide 12.5 mg film-coated tablet, 1 tablet (GPU)",20130627
200055,"aliskiren 150 mg + hydrochlorothiazide 25 mg film-coated tablet, 1 tablet (GPU)",20130627
199983,"aliskiren 150 mg film-coated tablet, 1 tablet (GPU)",20130627
200029,"aliskiren 300 mg + amlodipine 10 mg film-coated tablet, 1 tablet (GPU)",20130627
200038,"aliskiren 300 mg + amlodipine 5 mg film-coated tablet, 1 tablet (GPU)",20130627
200064,"aliskiren 300 mg + hydrochlorothiazide 12.5 mg film-coated tablet, 1 tablet (GPU)",20130627
200072,"aliskiren 300 mg + hydrochlorothiazide 25 mg film-coated tablet, 1 tablet (GPU)",20130627
199996,"aliskiren 300 mg film-coated tablet, 1 tablet (GPU)",20130627
794976,"alkyl ether sulfate 263.1 mg + makon OP-9 3.57 mg + phospholipid-PTC 1.78 mg + syloid 244 19.44 mg irrigation solution, 30 mL bottle (GPU)",20140519
874968,"allergen extract bermuda 10000 BAU/1 mL solution for injection, 50 mL vial (GPU)",20141214
875103,"allergen extract carelessweed 1 w/20 v solution for injection, 10 mL vial (GPU)",20141214
875174,"allergen extract cat pelt 10000 BAU/1 mL solution for injection, 30 mL vial (GPU)",20141214
912476,"allergen extract d.farinac 10000 AU/1 mL solution for injection, 10 mL vial (GPU)",20150314
912545,"allergen extract d.pteronyssinus 10000 AU/1 mL solution for injection, 10 mL vial (GPU)",20150314
875381,"allergen extract fire ant 1 w/20 v solution for injection, 10 mL vial (GPU)",20141214
875249,"allergen extract honey bee 100 mcg/1 mL concentrate for solution for injection, 10 mL vial (GPU)",20141214
875038,"allergen extract johnson grass 1 w/10 v solution for injection, 10 mL vial (GPU)",20141214
874896,"allergen extract mixed cockroach 1 w/20 v solution for injection, 50 mL vial (GPU)",20141214
874820,"allergen extract mixed mite 10000 AU/1 mL solution for injection, 30 mL vial (GPU)",20141214
875310,"allergen extract mixed vespid 300 mcg/1 mL solution for injection, 10 mL vial (GPU)",20141214
874751,"allergen extract standardized mite 10000 AU/1 mL solution for injection, 10 mL vial (GPU)",20141214
989955,"allopurinol 10 mg/1 mL oral suspension, 30 mL bottle (GPU)",20160703
999194,"allopurinol 10 mg/1 mL oral suspension, 50 mL bottle (GPU)",20161203
235004,"allopurinol 100 mg + benzbromarone 20 mg film-coated tablet, 1 tablet (GPU)",20130805
