SUBSID,VTMID
1115539,1115556
1029041,1029060
260931,260954
690062,1151553
687453,976516
518056,831540
225891,782506
269192,842294
558092,578008
974347,453677
958132,958166
1286694,1288395
223515,675570
962461,962474
345253,345276
223558,781658
224362,221628
665824,574337
809511,854963
669114,673652
693798,775678
742322,845624
358753,358776
689632,877520
235879,235898
225901,665103
488838,995956
517179,986543
794897,794953
531387,916020
301765,1294610
223354,797652
225407,986543
748064,896480
691966,976635
999834,437343
666269,666282
223354,1209961
519482,804455
855513,855532
568046,1010936
735796,963972
225891,851231
265032,1140860
263693,1206810
349774,349790
886309,951555
223365,735269
705683,892804
1296677,1296696
748778,769206
372737,976345
495349,495365
1029542,1029561
1010894,1136313
841060,841087
352976,506735
665824,975749
531114,265182
323231,799342
223205,220403
236969,236982
737480,312754
228990,453677
670286,784238
490759,1251367
225760,222962
532593,532615
680961,680988
665824,964062
536981,1012461
602824,932243
506551,1002608
223365,847159
899573,899628
499343,499717
225901,1199390
768990,769015
232001,232029
776097,894408
503464,692855
492379,812364
1041857,1041874
225891,787296
1128582,1128609
665824,747121
265032,880566
317215,1179353
490759,854959
776097,953189
225862,954467
560907,673597
1136776,1136795
330683,330704
740970,740991
748212,328550
652079,652098
969916,937160
490759,844889
510153,872504
1221215,1221236
282800,349956
798529,798593
864379,864398
813594,813616
770995,873433
784943,936130
317215,1014299
224985,222229
520688,935422
625984,1298390
429914,429933
678914,726677
722013,920180
263693,1209961
225891,858198
1295630,1297656
882245,882284
1019531,1019554
769366,769397
223911,220564
338379,795638
1296082,1296105
225843,220501
686732,686750
776097,899628
793260,793287
225901,940823
707949,920534
269214,269233
749009,749078
855120,855149
999834,839694
960737,1001899
776097,970005
560907,741608
490737,961445
1189976,1189995
742529,782506
761539,931724
1234510,1297656
1138279,1182957
764717,764772
931822,931879
520688,972588
692547,1028288
575364,1020383
322408,616023
1011581,1011608
520688,995987
225079,222319
223312,693906
748064,604777
715174,1031669
535486,535504
425373,425394
278202,278241
531228,306681
449815,464827
794781,794821
694582,552473
608947,608999
675723,695009
854701,673940
660113,660132
666783,666806
485337,923614
770995,771062
231771,456879
254983,255003
822572,822604
826767,826780
885351,895935
558092,1244130
964563,964585
766496,766514
651349,651365
245221,625720
225610,222818
234194,965734
225917,679124
520688,820498
902417,902438
1016395,1016416
858076,932243
223354,845291
708888,708900
374032,374050
673022,673046
858076,967431
669568,1119409
1308126,1308249
490759,912337
1324627,1324643
595593,609079
338615,758968
855938,994623
673773,1279145
223515,270999
367473,367494
841714,964164
225891,858302
764755,1028112
717468,717481
519482,1303843
492379,757506
742529,769206
775609,984461
1299028,1299063
520688,1315066
224327,839813
685266,835786
763832,1187853
824537,824559
748352,966307
715174,808125
690062,723027
223527,1100189
858076,748539
224554,221848
777712,777731
223192,1187853
223365,975909
341304,341327
748064,967386
693798,781658
835370,835391
519482,558141
614481,967477
707949,934510
757318,1199390
665824,748231
695260,469765
742615,744661
694818,694839
224148,1026202
934450,934478
223562,220783
490737,941334
694077,844889
669727,983960
354025,354041
223866,256574
490759,1115427
762405,934704
263693,845291
1177978,1177997
602824,670744
406835,946735
228373,1158981
744559,777211
293049,1002387
561460,679362
757318,748709
850194,855219
717786,915665
531228,400850
520688,895237
740199,740217
679410,944327
742529,1145570
523629,523640
1304500,1304528
1158557,1162595
731358,933017
480282,480305
504256,980596
1155626,1155642
224256,221489
650849,650865
732561,760118
257844,449836
828249,828265
669048,792210
225901,1106240
235473,235500
748427,955772
510153,808125
531114,531151
295967,992857
675472,1164410
725648,725682
689388,776021
225407,914941
809632,935238
884663,1025264
748064,962501
668268,669893
278202,393925
531228,967483
225407,978591
691295,691322
687453,687476
689632,812034
748323,940823
660099,660236
492379,795039
842343,842362
696815,333819
1287599,1287612
491864,813946
263353,263376
741180,741200
224786,986185
621434,621549
769983,770003
742529,830321
224182,221126
281822,281846
763768,842294
916451,916479
931965,982038
776097,896357
910115,910162
223527,784152
490759,985101
669114,846133
1026874,1119665
223660,220881
753412,753431
1161628,1161644
742529,1199390
488838,502507
797623,1051610
682908,1013787
1101246,1101251
223354,1018713
536981,540973
406835,986185
236969,526022
523733,528892
662897,662924
982404,982427
880476,1024069
1053480,1053507
519482,923009
997003,1022790
675472,677262
735720,1032977
996409,996421
224195,221427
1208528,1208544
417392,417411
804185,804233
965331,1036811
514141,958386
791505,791522
1021366,1021384
748427,967412
724597,724699
230434,230667
293049,293077
223536,795463
650779,888543
1102022,1102108
734306,835013
224009,221220
238883,238906
224959,221254
768179,1016519
764614,764772
224107,221334
1278821,1327048
602824,728576
1309740,1309764
228990,285792
770976,932178
764614,983800
679508,679679
424580,424607
786993,787017
514141,514160
531445,531683
760092,760118
225098,221525
1123996,1129538
490716,491631
745775,745799
696815,733696
223558,1209961
536981,1114060
813489,820498
811908,830321
521712,910535
765046,765067
490839,515402
1321433,1321576
757237,886795
519482,934341
517198,517216
774855,774903
877239,877256
812340,881078
531228,605223
863372,775335
231771,268338
225407,704454
643001,757114
977134,977152
722786,722803
1015090,1015116
968190,968212
223354,1205644
436063,525032
1272278,1272297
264049,465132
676519,676535
225891,886795
519482,1118898
228990,265182
811537,593506
223365,743337
228990,626015
1141510,1141534
224327,604720
696815,1245290
277977,278009
490737,501560
1188236,1188317
610044,610063
685266,799342
809632,1114073
531228,954480
854826,673940
246853,246876
230256,375290
490759,930354
223527,744015
1026835,1040424
1007922,1039684
990797,990811
224362,297835
225917,1135834
1261758,1261770
225891,851055
223850,221072
1234801,1234829
620359,793050
735092,735118
649808,840220
721601,721629
223558,757356
812340,812364
723753,723776
807681,877169
769912,769931
689632,781658
930192,930354
225901,989154
490759,859234
223354,782506
560907,668321
668281,669893
668247,668880
245588,245601
265032,885636
784134,930354
223312,220461
518056,518073
379592,1023086
234966,260089
490613,490666
560907,980992
499698,1317368
266183,497598
520688,975662
700798,930354
510153,1031669
616837,616863
225407,783865
246663,246685
849490,849540
809632,494172
223354,1018600
385109,1157409
488244,1051226
223866,1272056
793336,965734
666783,936130
339609,339621
504256,1040022
560907,672932
225718,650060
224874,1011608
560884,669069
839775,839813
1279109,1279145
488263,765675
666783,893913
1032965,1032977
225344,222569
682977,682996
536981,837126
225469,933869
223205,220419
238638,251024
804747,804768
707949,956699
